,countries,export_product_diversity,import_product_diversity,is_latinoamerica
0,ABW,18.08106946771386,299.89575442691324,True
1,AFG,20.283202329210262,215.55776595741762,False
2,AGO,2.3397001732203186,318.44926344111093,False
3,AIA,1.0,1.0,False
4,ALB,142.86427045172258,533.7975215622084,False
5,AND,108.67274819896569,299.9960163804113,False
6,ANT,1.0,1.0,False
7,ARE,69.44297585640508,256.38713273262306,False
8,ARG,80.82795111081298,515.9969531687218,True
9,ARM,33.10242299235711,359.84145914523214,False
10,ASM,18.577897290863994,17.05781706742762,False
11,ATF,1.0,1.0,False
12,ATG,6.887533981375215,83.86878630819793,True
13,AUS,39.26994860756465,452.6611854837094,False
14,AUT,676.76123599123,820.0545448553305,False
15,AZE,3.582588755143567,273.64523997358907,False
16,BDI,7.754328795000749,168.2146088039642,False
17,BEL,462.69839085312714,631.7871497781425,False
18,BEN,13.192739283514538,151.64018522133122,False
19,BES,1.0,1.0,False
20,BFA,5.46626988335871,257.34711901894667,False
21,BGD,54.02070885374109,454.43701675616643,False
22,BGR,409.56865415905185,547.9787922744639,False
23,BHR,30.160613336299964,137.48795547895816,False
24,BHS,24.9767350445507,28.54230384746118,True
25,BIH,271.6497613863222,627.9742674482683,False
26,BLM,1.0,1.0,False
27,BLR,189.11799813119057,370.86955128097185,False
28,BLZ,41.54434976545982,282.90308369592555,True
29,BMU,3.0588242512140407,123.86657507308975,False
30,BOL,14.164793667690807,489.5618826419112,True
31,BRA,105.75439174476745,493.74333197754095,True
32,BRB,78.42614372590009,398.42502897270526,True
33,BRN,4.8095952074199,175.2096944196352,False
34,BTN,8.9808639310668,166.5019570380666,False
35,BWA,3.39813303392062,162.2007273200279,False
36,CAF,7.241516306760439,85.17521056391601,False
37,CAN,216.66250669827292,661.5979073784721,False
38,CCK,1.0,1.0,False
39,CHE,93.54989425646771,204.90540031144775,False
40,CHL,44.02007560490685,490.8613850849515,True
41,CHN,536.2433996422178,220.21897710285418,False
42,CIV,24.81262362040088,299.3331625272438,False
43,CMR,16.40037104886332,239.87274732736458,False
44,COD,7.227145668713815,256.82063680574043,False
45,COG,4.0550975821550495,300.9546242218056,False
46,COK,1.0,1.0,False
47,COL,34.408246761378294,542.912627673737,True
48,COM,7.664278342628639,237.71485699660823,False
49,CPV,23.13662719347155,336.44711712057523,False
50,CRI,80.42540325903565,498.34460891626463,True
51,CSK,1.0,1.0,False
52,CUB,17.370071127981717,499.86210387046333,True
53,CUW,30.9844756775143,249.56562355344397,True
54,CXR,1.0,1.0,False
55,CYM,1.803013805972107,12.952678437996779,True
56,CYP,80.18943380229688,226.1197639630431,False
57,CZE,393.63341480042845,593.7941007625705,False
58,DDR,1.0,1.0,False
59,DEU,690.811736759109,787.3045856696588,False
60,DJI,18.77876545416846,315.79524842374383,False
61,DMA,45.79242574009334,123.47591116203739,True
62,DNK,455.0064084111424,712.4042747772883,False
63,DOM,92.96362494543415,462.2393458438413,True
64,DZA,7.06114717782883,526.4264800270972,False
65,ECU,14.244131883911326,314.0426667165834,True
66,EGY,172.86921267040012,450.7100234207191,False
67,ERI,3.2476082606977226,162.24514893345108,False
68,ESP,653.1684403672234,654.7750843399588,False
69,EST,400.99870814621886,608.4905677038115,False
70,ETH,43.18515828425346,255.1061882981572,False
71,FIN,307.84133068445493,561.3683077429883,False
72,FJI,77.29913292373647,184.91196914939258,False
73,FLK,1.0,1.0,False
74,FRA,532.9864199009569,753.4510045210668,False
75,FSM,2.6363337951903154,199.6579139955449,False
76,GAB,7.397342263054261,212.9328308076853,False
77,GBR,395.48847046526197,500.279942650723,False
78,GEO,82.35658849228778,372.3350091600494,False
79,GHA,11.722077626215395,338.8452352986771,False
80,GIB,15.434490410271314,5.3104535607763035,False
81,GIN,3.564447800608878,345.85903626802485,False
82,GMB,15.268379073064137,221.83711972658543,False
83,GNB,3.8607330827157744,114.60029210271115,False
84,GNQ,3.0673226507909117,303.09081800669867,False
85,GRC,134.3637973842613,349.01578203214405,False
86,GRD,47.93910290327764,261.3625857382948,True
87,GRL,7.524203722055657,108.70970015537067,False
88,GTM,148.43973518390965,438.8993932434383,True
89,GUM,27.365506645600444,19.066976325350755,False
90,GUY,11.466903667383102,115.71988957318027,True
91,HKG,180.55148754364222,89.49167252710748,False
92,HND,69.8453392845758,381.5960272637403,True
