region,export_product_diversity,import_product_diversity,year
Latin America & Caribbean ,834.2215834817586,511.00216155013663,1995
Aggregates,1.0,1.0,1995
South Asia,761.2360266501969,160.80715196193617,1995
Sub-Saharan Africa ,473.80179088223815,52.18482799868383,1995
Europe & Central Asia,1347.9725825600713,1371.082554019781,1995
Middle East & North Africa,1075.5877124365393,50.14697528976372,1995
East Asia & Pacific,1045.9866267781906,828.7389866911878,1995
North America,556.0708386726246,249.91337724318157,1995
Latin America & Caribbean ,976.8337890036926,399.8195366139692,1996
Aggregates,1.0,1.0,1996
South Asia,636.5321675797621,469.8183319431661,1996
Sub-Saharan Africa ,672.2314166198506,27.306676748313887,1996
Europe & Central Asia,1156.994159821245,1270.1716538955534,1996
Middle East & North Africa,1061.967332738221,23.943162384049497,1996
East Asia & Pacific,868.814932975841,788.6018910469311,1996
North America,573.5105746194469,680.3221109135911,1996
Latin America & Caribbean ,1010.925755356738,411.2921212887624,1997
Aggregates,1.0,1.0,1997
South Asia,598.0692149706715,503.2406248892435,1997
Sub-Saharan Africa ,699.1966881214618,27.73983927311638,1997
Europe & Central Asia,1119.579582083907,1228.6973402015738,1997
Middle East & North Africa,999.6305075137452,24.94730344036791,1997
East Asia & Pacific,819.3214601676314,759.5026176948412,1997
North America,582.9727185450075,691.5375508256168,1997
Latin America & Caribbean ,1053.433755112396,475.7680001149432,1998
Aggregates,1.0,1.0,1998
South Asia,548.0406846611298,483.5154569558538,1998
Sub-Saharan Africa ,624.2082690222917,44.55598324291193,1998
Europe & Central Asia,1136.41739587467,1204.5521474597151,1998
Middle East & North Africa,1028.2476923697827,49.99457241092202,1998
East Asia & Pacific,824.422625388892,752.7701451474528,1998
North America,638.0832221777983,678.6522268164646,1998
Latin America & Caribbean ,990.074406743659,435.01865446803725,1999
Aggregates,1.0,1.0,1999
South Asia,343.54697477872054,439.491362851124,1999
Sub-Saharan Africa ,687.5835511512206,36.44548465111242,1999
Europe & Central Asia,1064.7424362083252,1116.4332627806757,1999
Middle East & North Africa,970.8032442911688,34.25920682237489,1999
East Asia & Pacific,759.2972146844677,718.1673490335161,1999
North America,572.0831453560776,633.8828159161673,1999
Latin America & Caribbean ,870.0824020108181,352.9225772552788,2000
Aggregates,1.0,1.0,2000
South Asia,507.4599946607535,475.2660554948732,2000
Sub-Saharan Africa ,725.8066387171391,98.73973468750322,2000
Europe & Central Asia,946.9157445480636,995.9371563359095,2000
Middle East & North Africa,948.9191609220956,23.140744797239325,2000
East Asia & Pacific,637.1984747562416,670.9768419636306,2000
North America,500.35869696955183,638.558054325894,2000
Latin America & Caribbean ,908.5986254582216,386.1150171337716,2001
Aggregates,1.0,1.0,2001
South Asia,548.3793822267022,512.9314218376674,2001
Sub-Saharan Africa ,748.4289826310898,109.91674097595676,2001
Europe & Central Asia,968.4439034487782,994.2326488386,2001
Middle East & North Africa,953.4180205351402,31.50008343550236,2001
East Asia & Pacific,695.4095413609508,731.0161037103136,2001
North America,527.593699182661,664.2715896134683,2001
Latin America & Caribbean ,896.073676072369,376.22648211051256,2002
Aggregates,1.0,1.0,2002
South Asia,528.1331105901345,485.03222265087913,2002
Sub-Saharan Africa ,792.0449725615991,120.80983487594544,2002
Europe & Central Asia,954.2563862904516,956.324632153923,2002
Middle East & North Africa,935.7505779902276,41.166140536616,2002
East Asia & Pacific,702.2077965073104,708.8124382215718,2002
North America,512.5645863521503,667.9009919855584,2002
Latin America & Caribbean ,853.3213004732924,376.5762942112733,2003
Aggregates,1.0,1.0,2003
South Asia,507.0077126939281,496.0795540641108,2003
Sub-Saharan Africa ,800.1641892987916,114.45721929366712,2003
Europe & Central Asia,957.3642653322956,965.9292871133956,2003
Middle East & North Africa,957.6572649974632,33.75799406414511,2003
East Asia & Pacific,650.319357608621,686.8855567371362,2003
North America,501.0152144790027,658.0802501447514,2003
Latin America & Caribbean ,832.7476247074762,356.14501981883467,2004
Aggregates,1.0,1.0,2004
South Asia,539.9032353775968,467.8044653398981,2004
Sub-Saharan Africa ,706.7306099741267,99.5115518502764,2004
Europe & Central Asia,922.73938847468,944.6647410831991,2004
Middle East & North Africa,906.8472153161704,30.52157799720601,2004
East Asia & Pacific,615.341589824053,677.4232414489874,2004
North America,494.3927392939276,668.9985506082334,2004
Latin America & Caribbean ,766.2772292509122,325.3332822802083,2005
Aggregates,1.0,1.0,2005
South Asia,527.5041346946065,432.4353330166934,2005
Sub-Saharan Africa ,612.1211866254823,69.09010600193187,2005
Europe & Central Asia,838.9818545717692,869.4431478056227,2005
Middle East & North Africa,798.2702422578737,24.34086529989689,2005
East Asia & Pacific,542.5291018696003,671.5504921211591,2005
North America,462.1580515924584,653.918450793073,2005
Latin America & Caribbean ,731.558974178269,280.2632562093365,2006
Aggregates,1.0,1.0,2006
South Asia,287.5494833404057,397.26854583006445,2006
Sub-Saharan Africa ,573.3670195434383,52.79720938490604,2006
Europe & Central Asia,813.2527715351689,842.036475528115,2006
Middle East & North Africa,777.9248323316159,18.612597155219795,2006
East Asia & Pacific,500.5560342702669,672.832019323724,2006
North America,440.5841184913255,630.4393994309295,2006
Latin America & Caribbean ,751.3314820534914,283.78950800000246,2007
Aggregates,1.0,1.0,2007
South Asia,251.1594839237029,384.4054767944637,2007
Sub-Saharan Africa ,589.9702489335858,54.227849458997696,2007
Europe & Central Asia,861.3738739265185,872.6795998101296,2007
Middle East & North Africa,782.0483288141578,23.779558939352057,2007
East Asia & Pacific,500.4283974855793,687.0343767228183,2007
North America,430.5571544670384,634.9143018431394,2007
