countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
ABW,2021,68.2514067372442,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2020,64.9277808389368,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2019,71.9862540701072,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2018,74.6336357292394,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2017,71.2556458897922,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2016,70.4175248080884,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2015,72.9826546003017,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2014,84.6076861489191,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2013,85.3368830636904,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2012,83.5505233924375,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2011,84.6886912325286,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2010,75.2504553734062,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2009,74.6444979216802,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2008,73.5900962861073,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2007,74.9008971416649,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2006,76.4532911106085,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2005,76.9886363636364,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2004,67.7651139742319,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2003,70.0737906531839,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2002,68.6503416856492,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2001,69.3961708394698,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,2000,70.6829704742022,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,1999,84.6303501945525,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,1998,83.629654478363,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,1997,86.2509117432531,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
ABW,1996,88.7044534412956,,,1,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),AW,Aruba
