countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
ABW,2021,2.21601716477764,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2020,-4.83719100951377,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2019,4.54297345649475,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2018,-1.61383370090221,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2017,-1.75393532953404,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2016,-1.38971311410744,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2015,2.53159203921001,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2014,2.33510856206473,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2013,-1.9867549668874,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2012,0.168847373421684,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2011,4.01181416993168,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2010,-1.21664207022754,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2009,1.70383781144128,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2008,4.26406334686595,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2007,5.15793661182397,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2006,3.48522647295395,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2005,5.06249126984655,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2004,2.81721365536811,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2003,3.03079849433546,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2002,4.4466037644241,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2001,-2.82482461011597,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,2000,1.02758253884063,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,1999,2.19006066092493,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,1998,6.59295050184228,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,1997,3.70423775271973,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,1996,3.25948642303557,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
ABW,1995,3.37583749127457,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AW,Aruba
AFE,2021,5.17339207791346,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2020,5.19702415191822,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2019,4.45665786202293,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2018,3.98039127680487,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2017,5.21743086615295,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2016,6.40090045368644,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2015,5.5450647329474,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2014,5.68568997921012,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2013,5.64820692428826,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2012,7.12492416627668,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2011,9.43027047205072,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2010,6.12843243160444,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2009,7.89982253244756,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2008,11.4630397755144,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2007,8.25957019749005,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2006,8.59255310013562,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2005,7.40752901026004,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2004,9.83959057683409,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2003,8.11271176099276,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2002,9.45926497236815,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2001,8.62998398922237,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,2000,11.117305882147,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,1999,8.00681329656179,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,1998,8.26955483499275,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,1997,9.01894074585519,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,1996,14.4531114060499,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFE,1995,12.8165184306103,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",ZH,Africa Eastern and Southern
AFG,2021,0.524516523622154,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2020,7.82166712677619,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2019,6.52147984507825,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2018,2.07134857890898,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2017,2.40365618844285,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2016,-2.19752646590604,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2015,2.44756300204637,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2014,0.566944540816536,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2013,4.82278547931649,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2012,7.30175647136595,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2011,16.5933467311629,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2010,3.81463031709113,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2009,-2.16340442783005,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2008,2.09628874882868,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2007,22.5277561997899,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2006,7.19975128908025,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2005,10.9127735539374,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2004,11.2714320712639,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2003,11.655238211175,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
AFG,2002,,,,1,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)",AF,Afghanistan
